Download Code,D_num,Announced,Effective,GVKEY,PERMNO,TICKER,IBES Ticker,Company Name,COMPANY NAME - HISTORICAL,Company Name,URL,page,Start Date,End Date,Start Page,End Page,,Company,Start From Page,#of Page Visited,#of Page Downloaded,#of Records Downloaded,,
green,,5/11/2018,5/11/2018,,,,,VC3 Inc,,,https://www.glassdoor.com/Reviews/VC3-Reviews-E394569.htm,18,5/11/2017,5/11/2019,,,,,,,,,,
green,,1/18/2017,5/31/2018,,,,,Blackstone Group LP,,,https://www.glassdoor.com/Reviews/The-Blackstone-Group-Reviews-E4022.htm,79,1/19/2016,5/31/2019,,,,,,,,,,
green,,8/21/2017,5/31/2018,,,,,Wyndham Worldwide Corp to Destination,,,https://www.glassdoor.com/Reviews/Wyndham-Destinations-Reviews-E356401.htm,260,8/21/2016,5/31/2019,,,,,,,,,,
green,,8/2/2017,6/1/2018,,,,,Wyndham Worldwide Corp,,,https://www.glassdoor.com/Reviews/Wyndham-Hotels-and-Resorts-Reviews-E2310228.htm,76,8/2/2016,6/1/2019,,,,,,,,,,
green,,8/3/2017,6/1/2018,,,,,Spirit Realty Capital Inc,,,https://www.glassdoor.com/Reviews/Spirit-Realty-Capital-Reviews-E1844789.htm,3,8/3/2016,6/1/2019,,,,,,,,,,
green,,1/8/2018,6/7/2018,,,,,Next Alt SARL,,,https://www.glassdoor.com/Reviews/Altice-USA-Reviews-E3190196.htm,84,1/8/2017,6/7/2019,,,,,,,,,,
green,,12/14/2017,7/1/2018,,,,,DDR Corp,,,https://www.glassdoor.com/Reviews/DDR-Corp-Reviews-E2277.htm,5,12/14/2016,7/1/2019,,,,,,,,,,
green,,4/18/2018,8/7/2018,,,,,LINN Energy Inc,,,https://www.glassdoor.com/Reviews/Linn-Energy-Reviews-E38467.htm,9,4/18/2017,8/7/2019,,,,,,,,,,
,,12/20/2017,8/10/2018,,,,,Grupo Financiero Mercantil,,,https://www.glassdoor.com/Reviews/Banorte-Reviews-E8236.htm,9,12/20/2016,8/10/2019,,,,,,,,,,
green,,8/20/2018,8/20/2018,,,,,Milliman Inc,,,https://www.glassdoor.com/Reviews/Milliman-Reviews-E13873.htm,85,8/20/2017,8/20/2019,,,,,,,,,,
green,,4/17/2018,9/4/2018,,,,,Inpixon,,,https://www.glassdoor.com/Reviews/Inpixon-Reviews-E1626192.htm,6,4/17/2017,9/4/2019,,,,,,,,,,
green,,5/1/2018,9/14/2018,,,,,Klx Inc,,,https://www.glassdoor.com/Reviews/KLX-Energy-Services-Reviews-E1079236.htm,8,5/1/2017,9/14/2019,,,,,,,,,,
green,,9/17/2018,9/17/2018,,,,,DHI Group Inc,,,https://www.glassdoor.com/Reviews/DHI-Group-Reviews-E1176264.htm,18,9/17/2017,9/17/2019,,,,,,,,,,
green,,7/26/2017,10/1/2018,,,,,ServiceMaster Global Holdings Inc,,,https://www.glassdoor.com/Reviews/ServiceMaster-Brands-Reviews-E596.htm,64,7/26/2016,10/1/2019,,,,,,,,,,
green,,10/10/2017,10/1/2018,,,,,Honeywell International Inc,,,https://www.glassdoor.com/Reviews/Honeywell-Reviews-E28.htm,2251,10/10/2016,10/1/2019,,,,,,,,,,
,,11/14/2017,10/11/2018,,,,,Carolina Pad,,,https://www.glassdoor.com/Reviews/Carolina-Pad-Reviews-E2400339.htm,1,11/14/2016,10/11/2019,,,,,,,,,,
green,,10/10/2017,10/29/2018,,,,,Honeywell International Inc,,,https://www.glassdoor.com/Reviews/Honeywell-Reviews-E28.htm,2251,10/10/2016,10/29/2019,,,,,,,,,,
green,,12/12/2017,11/1/2018,,,,,Trinity Industries Inc,,,https://www.glassdoor.com/Reviews/Trinity-Industries-Reviews-E678.htm,49,12/12/2016,11/1/2019,,,,,,,,,,
green,,2/21/2018,11/12/2018,,,,,Eqt Corp-Midstream Business,,,https://www.glassdoor.com/Reviews/EQT-Corporation-Reviews-E233.htm,24,2/21/2017,11/12/2019,,,,,,,,,,
green,,2/9/2018,11/30/2018,,,,,BGC Partners Inc,,,https://www.glassdoor.com/Reviews/BGC-Group-Reviews-E9862.htm,42,2/9/2017,11/30/2019,,,,,,,,,,
green,,11/29/2018,12/31/2018,,,,,NETGEAR Inc,,,https://www.glassdoor.com/Reviews/NETGEAR-Reviews-E12666.htm,31,11/29/2017,12/31/2019,,,,,,,,,,
green,,1/28/2019,1/28/2019,,,,,AECOM,,,https://www.glassdoor.com/Reviews/AECOM-Reviews-E5632.htm,1078,1/28/2018,1/28/2020,,,,,,,,,,
green,,2/11/2019,3/1/2019,,,,,FMC Corp,,,https://www.glassdoor.com/Reviews/FMC-Reviews-E239.htm,55,2/11/2018,2/29/2020,,,,,,,,,,
green,,3/12/2019,3/12/2019,,,,,Continental AG,,,https://www.glassdoor.com/Reviews/Continental-Reviews-E3768.htm,613,3/12/2018,3/11/2020,,,,,,,,,,
,,12/14/2017,3/19/2019,,,,,21st Century Fox Inc,,,https://www.glassdoor.com/Reviews/FOX-International-Channels-Reviews-E1018920.htm,4,12/14/2016,3/18/2020,,,,,,,,,,
green,,5/1/2018,4/1/2019,,,,,Ironwood Pharmaceuticals Inc,,,https://www.glassdoor.com/Reviews/Ironwood-Pharmaceuticals-Reviews-E262397.htm,10,5/1/2017,3/31/2020,,,,,,,,,,
green,,9/6/2018,4/1/2019,,,,,DowDuPont Inc,,,https://www.glassdoor.com/Reviews/Dow-Reviews-E207.htm,334,9/6/2017,3/31/2020,,,,,,,,,,
